GENDER,LGB_3,CA_REGION,AGE_6,RACE_5,pv_ever,pv_12mo,sv_ever,sv_12mo,ipv_ever,ipv_year,data_year,INCOME_QUINTILE,EDUC5,EMPLOY_2,DISABILITY,sv_perp_ever,sv_perp_12mo,pv_perp_ever,pv_perp_12mo,WEIGHT,pastyearpv1,pastyearpv2,pastyearpv3,pastyearsv1,pastyearsv2,pastyearsv3,pastyearsv4,pastyearsv5,pastyearsv6,pastyearperpsv1,pastyearperpsv2,pastyearperpsv3,pastyearperpsv4,pastyearperpsv5,pastyearperpsv6,pastyearperppv1,pastyearperppv2,pastyearperppv3
1,2,3,4,2,1,0,1,1,1,0,2025,1,3,2,1,0,0,0,0,0.145576648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,1,1,0,1,0,1,0,2025,5,5,1,0,0,0,0,0,0.278223496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,3,2,1,0,0,0,1,0,2025,2,3,1,0,0,0,0,0,0.181986251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,5,1,1,0,0,0,1,0,2025,5,4,1,0,0,0,1,0,0.890755384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,2,1,1,0,1,1,1,1,2025,2,3,1,0,1,0,1,0,0.811762683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,1,0,0,1,0,1,0,2025,3,3,1,0,0,0,0,0,1.326268257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,5,1,1,0,1,1,1,0,2025,5,3,1,0,0,0,0,0,1.986528904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,2,1,0,0,0,0,0,2025,5,5,1,0,0,0,0,0,0.091537163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,3,1,0,1,1,1,1,2025,4,4,1,0,1,0,1,0,1.717367598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,2,1,1,0,1,0,1,0,2025,4,4,1,0,0,0,0,0,0.898050266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,1,1,0,0,0,0,1,0,2025,5,1,1,0,0,0,0,0,3.709528061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,6,1,0,0,1,0,1,0,2025,2,3,2,1,0,0,0,0,0.718497466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,3,3,0,0,0,0,0,0,2025,4,4,1,0,0,0,0,0,2.497003753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,2,1,0,0,0,1,0,2025,4,4,1,0,0,0,0,0,0.087915291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,1,0,1,0,2025,4,5,2,1,0,0,0,0,0.944289118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,5,1,1,0,1,0,1,0,2025,4,3,1,0,1,1,1,0,0.380068443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,1,4,5,0,0,0,0,0,0,2025,4,4,1,0,0,0,0,0,0.672037637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,2,2,0,0,1,1,1,0,2025,4,4,1,0,0,0,0,0,0.393888399,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,1,6,1,1,0,0,0,0,0,2025,4,4,1,0,0,0,1,0,0.948557361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,4,3,1,0,0,0,0,0,2025,5,4,1,0,0,0,0,0,2.58350314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,5,3,1,1,0,1,0,0,0,2025,3,4,1,0,0,0,0,0,1.223061916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,3,0,0,1,0,1,0,2025,4,5,1,1,0,0,0,0,3.221087187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,1,0,0,0,0,0,2025,2,3,1,0,0,0,0,0,2.320202351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,4,1,1,0,1,0,1,0,2025,2,3,1,0,1,0,1,0,1.291995564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,1,0,0,1,0,1,0,2025,4,2,1,0,0,0,0,0,2.044732263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,3,1,0,1,0,1,0,2025,2,2,1,0,0,0,0,0,4.428506613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,3,1,0,0,0,0,1,0,2025,4,5,1,0,0,0,0,0,0.611718857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,2,0,0,1,0,1,0,2025,5,4,1,0,0,0,1,0,0.187751969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,2,0,0,0,0,0,0,2025,3,5,1,0,0,0,0,0,0.280312036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,6,2,1,0,1,0,0,0,2025,2,3,1,0,0,0,1,0,0.083136252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,2,0,0,1,0,1,0,2025,1,2,2,1,0,0,0,0,0.219606836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,2,1,1,0,1,0,0,0,2025,2,4,1,0,0,0,0,0,1.656297008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,3,1,0,1,0,1,1,2025,4,4,1,1,1,0,0,0,2.434310902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,3,1,0,1,0,0,0,2025,5,5,1,0,0,0,0,0,0.746833443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,4,3,0,0,0,0,0,0,2025,5,4,1,0,0,0,0,0,2.269668859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,0,0,0,0,0,0,2025,4,5,2,1,0,0,0,0,1.699916303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5,6,1,0,0,0,0,0,0,2025,4,3,1,0,0,0,0,0,1.614117772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,1,0,0,0,1,0,2025,3,3,2,1,1,0,1,0,1.29037878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,5,1,1,0,1,0,1,0,2025,5,5,2,1,0,0,0,0,1.604611528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,4,3,0,0,0,0,0,0,2025,4,4,1,0,0,0,0,0,1.699592332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,5,1,0,0,1,0,1,0,2025,4,4,1,0,0,0,0,0,1.303668669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,4,2,0,0,0,0,1,0,2025,5,5,1,0,0,0,0,0,0.123197217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,2,1,0,1,0,1,0,2025,3,3,1,0,0,0,0,0,0.178069411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,5,1,1,0,1,0,1,0,2025,1,3,2,1,0,0,0,0,0.841743718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,2,2,1,0,1,1,0,0,2025,3,5,1,0,0,0,1,0,0.105763292,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,1,1,0,1,0,1,0,2025,5,4,1,0,0,0,1,1,0.329682411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,1,2,1,1,1,0,0,0,0,2025,1,3,2,1,0,0,0,0,3.276266418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,1,0,0,0,0,0,0,2025,5,5,1,0,0,0,0,0,0.492401882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,5,1,1,0,0,0,1,0,2025,3,4,1,0,0,0,0,0,0.844218387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,6,1,0,0,0,0,0,0,2025,2,3,2,0,0,0,1,0,1.09176473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,5,3,1,0,0,0,1,0,2025,4,5,1,0,0,0,0,0,1.526847299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,1,1,0,1,0,1,0,2025,5,4,1,0,0,0,1,0,0.62014308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,4,5,1,0,1,0,1,0,2025,4,3,1,1,0,0,0,0,1.013613748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,4,2,1,0,0,0,1,0,2025,4,4,1,0,0,0,0,0,0.121685436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,3,1,0,0,1,0,0,0,2025,5,5,1,0,0,0,0,0,1.646357489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,1,1,0,1,0,1,0,2025,5,2,1,0,0,0,0,0,1.544711497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,6,2,1,0,1,1,1,0,2025,1,3,2,1,0,0,0,0,0.164297072,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,1,0,0,0,1,0,2025,5,3,1,0,0,0,0,0,1.6508098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,1,1,0,0,0,1,0,2025,3,3,2,1,0,0,0,0,0.471327199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,5,5,1,0,1,0,1,0,2025,4,4,1,0,0,0,0,0,0.592053579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,0,0,1,0,2025,4,2,2,0,0,0,0,0,1.2683808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,3,1,1,0,0,0,1,0,2025,2,4,1,1,0,0,1,0,0.917468418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,2,1,0,1,0,1,0,2025,1,4,2,1,0,0,1,0,0.401843387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,4,1,1,0,1,0,1,0,2025,4,3,2,0,0,0,0,0,1.212280873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,6,1,0,0,1,0,1,0,2025,1,3,2,0,0,0,0,0,0.273579477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5,5,1,1,0,1,0,1,0,2025,5,4,1,0,0,0,0,0,0.66477745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,0,0,0,0,0,0,2025,5,5,2,1,0,0,0,0,0.532309935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,1,0,1,0,2025,1,2,2,1,0,0,0,0,0.929096565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,4,5,1,0,1,1,1,0,2025,1,2,2,1,0,0,1,0,0.351299757,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,5,1,0,0,0,0,0,2025,1,1,2,0,0,0,0,0,2.596953253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,6,1,0,0,0,0,0,0,2025,4,5,2,0,0,0,0,0,0.661906684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,4,2,0,0,0,0,0,0,2025,2,3,1,0,0,0,0,0,0.249117576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,1,0,1,0,2025,3,3,1,0,1,0,0,0,0.454215849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,3,5,0,0,1,0,1,0,2025,2,4,1,0,0,0,1,0,0.745650605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,1,0,0,1,0,0,0,2025,5,5,1,0,0,0,0,0,0.7826412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,5,3,1,0,1,0,0,0,2025,4,3,1,0,1,0,0,0,1.795683491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,3,0,0,0,0,0,0,2025,4,3,1,0,0,0,1,0,3.333569055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,2,1,0,0,0,0,0,2025,4,2,2,1,0,0,0,0,0.256629767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,4,2,1,0,1,0,1,0,2025,4,3,1,0,0,0,1,0,0.267887397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,3,0,0,1,0,1,0,2025,4,5,1,0,0,0,0,0,1.635572145,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,1,1,0,0,0,0,0,2025,1,3,1,1,0,0,0,0,1.809046029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,2,0,0,1,0,1,0,2025,5,4,1,0,0,0,0,0,0.151766704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,2,1,0,0,0,1,0,2025,2,3,2,0,0,0,0,0,0.176761498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,4,2,0,0,0,0,0,0,2025,1,3,1,0,0,0,0,0,0.133371836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,0,0,1,0,0,0,2025,4,3,1,0,0,0,0,0,1.250691305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,3,3,0,0,0,0,0,0,2025,4,4,1,0,0,0,0,0,1.418236102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,5,3,1,0,1,0,1,0,2025,2,5,2,0,0,0,1,0,1.133318486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,0,0,1,0,1,0,2025,1,3,1,0,0,0,0,0,0.994882798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,2,1,1,0,1,1,1,0,2025,3,4,1,0,0,0,1,0,0.710230506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,1,1,0,1,0,1,0,2025,2,3,1,0,0,0,0,0,1.418175305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,1,0,0,1,0,1,0,2025,4,4,1,0,0,0,0,0,0.853515896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,1,1,0,1,0,1,0,2025,2,3,1,0,1,1,0,0,1.260723089,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,2,5,1,1,1,0,0,1,0,2025,2,3,2,1,0,0,0,0,0.953751622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,2,1,3,3,0,0,NA,0,NA,NA,2025,4,5,1,0,NA,0,NA,0,1.571472063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
